scope,sr_per_period,sr_annual,best_config,pwf_oos_sharpe,n_obs,skew,kurt,n_trials,trial_sr_variance,sr0_per_period,sr0_annual,psr_zero,dsr,pbo,pbo_logit_mean,pbo_n_combos,min_trl_95
AG,0.03651996106747259,0.5797364092457604,f20_s40,0.63,3408,-2.1486200612885242,104.4007351766503,9,7.563270013725383e-05,0.013225761243028952,0.2099524508914266,0.9783392481463903,0.9012722026838826,0.011188811188811189,2.1428100819691744,12870,2258.705317474177
I,0.0002766564962024089,0.004391785725252355,f10_s100,-0.266,3055,-0.41484958824450363,18.44113632634127,9,5.0384441317376093e-05,0.010794787547287046,0.17136193983539053,0.5060987880999244,0.28054269012529903,0.5871794871794872,-0.28838579282196997,12870,35352714.62177132
CU,0.040121461096116355,0.6369084497812609,f20_s60,0.14,5194,0.06843840194366646,8.43143551540708,9,0.00010720162679829497,0.01574586645231996,0.24995788086044093,0.99807928532671,0.9604857239068891,0.5696969696969697,-0.09690924870142409,12870,1682.1533786476873
PORTFOLIO,0.033134451670257074,0.5259931136879338,ensemble(AG+I+CU),0.5259931136879338,2441,-1.6588569881440507,63.415564432519176,9,0.00034291638181418804,0.02816177290940986,0.4470542855818465,0.9430301176745645,0.5937605487023446,,,0,2642.9761797564697
PORTFOLIO,0.033134451670257074,0.5259931136879338,ensemble(AG+I+CU),0.5259931136879338,2441,-1.6588569881440507,63.415564432519176,27,0.00034291638181418804,0.03758414782137299,0.5966298502418578,0.9430301176745645,0.4159444493550204,,,0,2642.9761797564697
