variant,days,sharpe_ann,daily_mean,daily_std,total_pnl,max_dd,columns,date_min,date_max
V0_intersection_3,2477,0.993015929841669,512.2769327633225,8189.339117869813,1268909.962454751,-181328.7369295007,"AG,I,CU",2015-09-18,2025-11-28
V1_union_zerofill_3,4551,0.8831467072842053,372.77037248133956,6700.52456913811,1696477.9651625769,-181328.736929502,"AG,I,CU",2007-06-05,2026-02-03
V2_LOO_drop_AG,2496,0.8418538897623967,331.98872073177023,6260.180802034262,828643.8469464995,-142267.08287265815,"I,CU",2015-09-18,2025-12-24
V3_LOO_drop_I,2832,0.8418582694562959,366.80870024262873,6916.731484055689,1038802.2390871253,-201286.12823496634,"AG,CU",2014-04-10,2025-11-28
V4_LOO_drop_CU,2477,0.7295654601052304,297.71999047558046,6478.045616501279,737452.4164080133,-179257.94049961524,"AG,I",2015-09-18,2025-11-28
