sym,strategy,contract,fold,train_start,train_end,test_start,test_end,best_params,is_sharpe,is_return_pct,is_trades,oos_sharpe,oos_return_pct,oos_max_dd_pct,oos_trades
au,DoubleMa/AU,au_continuous_adj15.SHFE,11,2014-11-13,2016-10-13,2016-10-13,2017-06-20,"{'fast_window': 10, 'slow_window': 40}",0.2916621193317939,1.9605592500000713,29,-1.1069962234312982,-1.5435831000000455,-2.567958234009442,9
au,DoubleMa/AU,au_continuous_adj15.SHFE,12,2015-07-21,2017-06-20,2017-06-20,2018-02-25,"{'fast_window': 20, 'slow_window': 100}",0.5172271017717326,3.115008899999938,5,-2.529857621852095,-2.0754181500000524,-2.37926477605098,7
au,DoubleMa/AU,au_continuous_adj15.SHFE,13,2016-03-27,2018-02-25,2018-02-25,2018-11-02,"{'fast_window': 30, 'slow_window': 60}",0.406909902337118,1.852519800000052,15,-0.265797940939525,-0.06860620000003204,-0.3591330750231449,1
au,DoubleMa/AU,au_continuous_adj15.SHFE,14,2016-12-02,2018-11-02,2018-11-02,2019-07-10,"{'fast_window': 30, 'slow_window': 60}",-0.0781675107255394,-0.25336509999998036,15,0.16440354708032204,0.2939576499999985,-1.7008772420094094,3
au,DoubleMa/AU,au_continuous_adj15.SHFE,15,2017-08-09,2019-07-10,2019-07-10,2020-03-16,"{'fast_window': 10, 'slow_window': 100}",0.8222316235852304,3.349570550000003,7,-0.41947297975638026,-1.1199822000000248,-3.1841141201853365,1
au,DoubleMa/AU,au_continuous_adj15.SHFE,16,2018-04-16,2020-03-16,2020-03-16,2020-11-21,"{'fast_window': 20, 'slow_window': 40}",1.2214637175237237,9.219780600000082,13,1.279470705972713,2.4137480000000267,-1.3179862723100064,1
au,DoubleMa/AU,au_continuous_adj15.SHFE,17,2018-12-22,2020-11-21,2020-11-21,2021-07-29,"{'fast_window': 20, 'slow_window': 40}",1.4196812254315605,15.386730800000192,13,0.2970525934008741,0.8457404999999252,-3.215501193798856,5
au,DoubleMa/AU,au_continuous_adj15.SHFE,18,2019-08-29,2021-07-29,2021-07-29,2022-04-05,"{'fast_window': 20, 'slow_window': 40}",0.7923555964293723,8.784803299999977,15,0.22093907073878458,0.6338876999999687,-2.6170064719030384,5
au,DoubleMa/AU,au_continuous_adj15.SHFE,19,2020-05-05,2022-04-05,2022-04-05,2022-12-11,"{'fast_window': 30, 'slow_window': 40}",0.31623761606462075,2.7148262000000534,23,-1.2732344532278428,-1.8882532000000007,-2.5550878802034505,3
au,DoubleMa/AU,au_continuous_adj15.SHFE,20,2021-01-10,2022-12-11,2022-12-11,2023-08-18,"{'fast_window': 30, 'slow_window': 60}",0.3014990409687833,2.3971534999999156,13,-0.7366354984242527,-0.8289557000000336,-1.410450694839707,3
au,DoubleMa/AU,au_continuous_adj15.SHFE,21,2021-09-17,2023-08-18,2023-08-18,2024-04-24,"{'fast_window': 30, 'slow_window': 60}",0.8607347689218253,6.638235299999917,11,0.0,0.0,0.0,0
au,DoubleMa/AU,au_continuous_adj15.SHFE,22,2022-05-25,2024-04-24,2024-04-24,2024-12-30,"{'fast_window': 30, 'slow_window': 60}",1.662203835945451,13.362666199999929,5,-1.2969173553590445,-0.8033426999999982,-0.8033427000000025,3
au,DoubleMa/AU,au_continuous_adj15.SHFE,23,2023-01-30,2024-12-30,2024-12-30,2025-09-06,"{'fast_window': 20, 'slow_window': 60}",1.1438939191680861,12.585598599999926,7,-1.5229611643809242,-4.2954567,-5.1945524102909335,5
au,DoubleMa/AU,au_continuous_adj15.SHFE,24,2023-10-07,2025-09-06,2025-09-06,2026-05-14,"{'fast_window': 20, 'slow_window': 40}",1.7309820265515683,29.764704899999984,25,-0.738842191585007,-4.986899,-8.226899,1
cu,DoubleMa/CU,cu_continuous_adj15.SHFE,1,2005-01-04,2006-12-05,2006-12-05,2007-08-12,"{'fast_window': 20, 'slow_window': 60}",0.7691788751523322,11.125889749999995,9,-0.5037920959265149,-1.6694922499999931,-4.740200692217797,3
cu,DoubleMa/CU,cu_continuous_adj15.SHFE,2,2005-09-11,2007-08-12,2007-08-12,2008-04-18,"{'fast_window': 10, 'slow_window': 40}",0.5934194569464036,10.890636749999993,19,1.5013523763260015,6.040790499999993,-3.289419319511407,3
cu,DoubleMa/CU,cu_continuous_adj15.SHFE,3,2006-05-19,2008-04-18,2008-04-18,2008-12-24,"{'fast_window': 10, 'slow_window': 40}",0.8082034261535045,13.400200750000014,21,3.685473331692925,17.575899000000007,-2.077865179400856,3
cu,DoubleMa/CU,cu_continuous_adj15.SHFE,4,2007-01-24,2008-12-24,2008-12-24,2009-08-31,"{'fast_window': 20, 'slow_window': 40}",1.6867113521027657,25.105971999999998,17,0.0,0.0,0.0,0
cu,DoubleMa/CU,cu_continuous_adj15.SHFE,5,2007-10-01,2009-08-31,2009-08-31,2010-05-08,"{'fast_window': 20, 'slow_window': 40}",2.4210774892524642,33.519314999999985,9,-1.0661188788088762,-3.023760750000004,-3.3961877499999944,3
cu,DoubleMa/CU,cu_continuous_adj15.SHFE,6,2008-06-07,2010-05-08,2010-05-08,2011-01-13,"{'fast_window': 30, 'slow_window': 40}",1.2615875647391377,14.176952999999992,17,1.8799061000948063,7.653746249999993,-2.396263056290645,1
cu,DoubleMa/CU,cu_continuous_adj15.SHFE,7,2009-02-12,2011-01-13,2011-01-13,2011-09-20,"{'fast_window': 10, 'slow_window': 40}",1.1890695259213055,15.823016,15,0.33141973690267423,0.8954189999999862,-3.6350041589453,3
