capital,ag_contracts,i_contracts,cu_contracts,port_sharpe,ann_return_dollar,ann_return_pct,port_dd,dd_pct_capital,days
500000,1,1,1,0.9930159298416688,129093.78705635738,25.818757411271477,-181328.73692950065,36.265747385900134,2477
1000000,1,1,1,0.9930159298416688,129093.78705635738,12.909378705635739,-181328.73692950065,18.132873692950067,2477
2000000,1,2,1,0.989996182069461,128710.99000653968,6.435549500326984,-182245.85220261628,9.112292610130813,2477
5000000,1,6,1,0.9824360054985277,127752.18856233825,2.555043771246765,-184542.09317525616,3.690841863505123,2477
10000000,3,12,1,0.9716633342677089,126379.22852606302,1.26379228526063,-187622.00333016168,1.8762200333016166,2477
