label,days,sharpe_ann,daily_mean,daily_std,total_pnl,max_dd
AG,2477,0.6085638511849939,204.42140938097583,5332.372708233492,506351.83103667706,-150371.53398304307
I,2477,0.3969516793148461,93.29858109460459,3731.106672896507,231100.5853713355,-178408.02493730778
CU,2477,0.7233105858856063,214.55694228774217,4708.884308619103,531457.5460467371,-102847.06517822138
PORTFOLIO,2477,0.9930159298416688,512.2769327633224,8189.339117869813,1268909.962454751,-181328.73692950065
