factor,horizon,ic_mean,ic_std,ic_ir,ic_positive_pct,n_days,q1_q5_spread
hl_range_20,20,0.04764238584263692,0.44136451008618743,0.1079433999651072,53.295903514244124,4809,inf
ret_1,1,-0.03937009066161382,0.3939815617183934,-0.09992876440688467,46.25267665952891,5137,inf
vol_20,20,0.033939799196134886,0.3800177454577392,0.08931109034198836,52.650250417362265,4792,-inf
hl_range_20,5,0.03742747735573243,0.4558087176849905,0.08211224556174147,53.524046434494196,4824,
close_pos_20,20,0.02417397785869299,0.32480849061183037,0.0744253261765335,53.23352048242877,4809,
max_dd_20,5,-0.029320133444973872,0.408430416069397,-0.07178734073515242,46.30858564910825,4822,
max_dd_20,1,-0.02709975716498073,0.40846127355189166,-0.06634596452517286,47.45130542892665,4826,
ret_5,1,-0.02471908225029477,0.3981946707873225,-0.06207788316558696,46.48216721886572,5131,inf
vol_20,5,0.02390033534599355,0.38814672524029525,0.06157551717381422,52.09070106095278,4807,-inf
vol_ratio_5_20,20,0.01809939283185318,0.3098740531467026,0.058408868532417745,51.52337228714524,4792,inf
max_dd_20,20,-0.023133545324366275,0.3963692747801697,-0.05836361896919575,48.26294986478053,4807,
ret_20,20,0.021535593279988847,0.39138949623098407,0.05502343186869611,52.3445163821856,5097,
hl_range_20,1,0.025562625103712332,0.467204663449731,0.054713976771900846,52.16490573855397,4827,
ret_5,20,0.02072945005721639,0.3898672403666586,0.053170535789878,51.68231611893583,5112,
volume_ratio_5_20,5,0.01300630061906408,0.29523871250282835,0.044053506766798006,52.363184079601986,4824,-inf
ret_60,20,0.015803589561726623,0.3869660981325048,0.0408397263687817,51.6805061289047,5058,
vol_20,1,0.016176432165388874,0.4000782419726739,0.04043317148572592,51.44520690372219,4809,-0.004370464211184764
oi_pct_5,1,-0.011399919121413289,0.2943312899044811,-0.0387315909399673,47.99457469482659,5161,inf
ret_20,5,0.014425695190126096,0.39958766932567574,0.03610145231575884,50.64553990610329,5112,
volume_ratio_5_20,20,0.010344659006872045,0.30283438395293927,0.034159459939263746,50.92534830526097,4809,
dv_zscore_20,1,-0.010380375776858807,0.3230064022224332,-0.032136749319632764,48.290863890615285,4827,
ret_skew_20,20,0.01018178692449329,0.32499079000451586,0.03132946298063342,50.5008347245409,4792,-0.0012292551863777776
vol_ratio_5_20,1,0.009505766408114125,0.312244235345433,0.030443368786610202,50.05198585984613,4809,-0.0003266284079670878
oi_pct_20,1,-0.008356251013529598,0.2964598978337569,-0.028186783691787735,48.42596191216479,5146,-inf
oi_price_corr_20,20,-0.008556419638014597,0.3194802368581347,-0.026782312803323976,49.0785850455412,4721,0.005059416213246672
ret_1,20,0.009721527245187107,0.3831627007212254,0.025371799569447448,50.469116497263485,5116,
oi_pct_5,20,-0.006952935742510358,0.2939884446885801,-0.023650370850036486,48.755348113574485,5142,inf
close_pos_20,5,0.007178927124261863,0.3164679165353082,0.02268453372100648,50.26948590381426,4824,
oi_pct_5,5,-0.006128355204613205,0.2926238445397118,-0.020942774551584876,48.8268373085127,5157,-0.0014595247722850066
vol_ratio_5_20,5,0.006135427510032246,0.31115723160999437,0.019718093898336304,50.488870397337216,4807,-inf
oi_price_corr_20,5,-0.0053412482362993185,0.307945225469186,-0.017344799641434223,48.56479527226678,4738,0.001980125525235098
ret_5,5,-0.006302498811030427,0.39098519537384074,-0.016119533132205398,48.72244977569729,5127,inf
ret_60,5,0.006442421518097307,0.399970004607131,0.016107261654346682,49.90141955835962,5072,inf
ret_1,5,-0.005914614047076928,0.3915605250105998,-0.015105235766339866,49.152212044435785,5131,
close_pos_20,1,-0.004689869288577607,0.32271427709217027,-0.014532574544999557,49.2024031489538,4827,
oi_pct_20,5,-0.003792107573127197,0.29826959614921905,-0.012713691311769075,49.980552314274604,5142,inf
ret_skew_20,5,0.003595318446298341,0.31601432866319246,0.011377074139350895,50.280840441023514,4807,inf
volume_ratio_5_20,1,0.003161914597050656,0.30781177781583674,0.01027223395896964,50.25896001657344,4827,-inf
ret_skew_20,1,0.0028557793070474236,0.3156405445607304,0.00904756805251919,50.63422749012268,4809,0.00023721475349043302
ret_60,1,0.00262646000954415,0.40179603112016515,0.006536799286498314,49.763686490744384,5078,inf
oi_price_corr_20,1,-0.0019089646860208293,0.31048873323023796,-0.0061482575105398975,50.12647554806071,4744,0.00040383582393929744
dv_zscore_20,20,-0.0016480595635269028,0.3182010361578885,-0.0051793029445358265,48.88750259929299,4809,
ret_20,1,0.0020190047846377654,0.4036695449995996,0.005001627716650678,50.146627565982406,5115,inf
dv_zscore_20,5,-0.0010573757011445575,0.32051009493375887,-0.003299040241971441,49.585406301824214,4824,
oi_pct_20,20,-0.0005552663987854437,0.2980436040502183,-0.0018630374590822795,49.77569728886288,5127,
