bucket,n_days,pnl_sum,pnl_mean_daily,pnl_std_daily,share_of_total_pnl,share_of_total_days,bucket_sharpe_ann
ON_ROLL,30,-11800.0,-393.3333333333333,4370.408592382161,-0.1489982255826569,0.012014417300760914,-1.4286932130318406
ROLL_pm1,53,19700.0,371.6981132075472,1270.7701115239242,0.24875127491341875,0.021225470564677613,4.643266762828274
ROLL_pm2to5,203,39936.341,196.73074384236455,1418.7854939301685,0.5042749106155856,0.08129755706848218,2.201181048189939
ROLL_pm6to10,230,26189.877999999997,113.86903478260868,931.8361129332911,0.33069875849375113,0.092110532639167,1.9398420637555642
FAR_gt10,1981,5169.355000000001,2.609467440686523,967.8998901794315,0.06527328155990132,0.7933520224269123,0.04279782633985122
